55,14.99
227,11.3
296,12.88
297,4.289
674,16.9051
787,12
821,6.99
999,15
1054,13
1062,16
1110,9.69
1147,11.75
1217,73
1313,14.4
1454,17.7
1516,17
1576,0
1631,0
1725,0
1922,13.98
2021,8
2136,4.3461
2191,13.5
2281,18
2659,5.55
2705,6.4
2778,23
2857,7
2922,1
2933,15
2953,15
3089,4.83
3119,1.5
3151,4.66
3170,0
3174,14.98
3191,5.5
3340,0
3940,16.8
4014,14
4324,17.97
4552,6.98
4612,19
4740,13.85
4749,14
4997,22.3331
5369,22.5
5397,52
5459,22
5474,17.38
5606,5.5
5759,13.5
5782,8.32
5784,11
5804,18
5856,14
5947,20
6065,14
6123,10
6297,90
6301,16.5
6305,16.2
6324,0
6362,42.88
6447,9.05
6465,9
6572,33.33
6599,0
6634,16.49
6801,19.69
6812,0
6854,17.95
6887,0
6992,0
7030,0
7066,3.95
7122,13.33
7377,16
7608,5.0888
7637,6.74
7724,16.8
7834,13
7860,16.01
7911,0
7973,12.99
8158,0
8181,0
8207,0
8311,17.8
8593,20
8608,18.2
8648,17.99
8753,8.85
8815,20
8868,6.9
8870,14
8897,20
8948,13
8955,6.25
9021,18.8988
9037,17.99
9056,18.4788
9082,0
9233,13.75
9591,13.9
9609,29.99
9670,10.77
9913,16.17343
10198,14.5
10237,18
10242,21.99
10339,0
10392,12
10576,0
10785,4.5
10876,3.666
10880,25
10912,12.15
10917,21.488
11013,13
11120,17.38
11124,20
11127,17.97
11150,24.74
11186,17.97
11515,11.6
11521,17.49
11555,14
11605,17.5
11619,21.32
11752,11.94
11841,13.478
11952,20.01
12085,9.9
12195,7.45
12197,5.8
12222,16
12456,0
12465,11.55
12568,7.25
12608,9.9
13279,15.99
13285,18.49
13295,20
13298,17
13414,28
13512,16.48
13720,8.88
13727,15
13756,0
13923,0
13942,12
13988,2.95
14052,32.88
14132,18
14238,15.88
14334,26.25
14514,14
14535,13.3
14561,0
14620,14.99
14748,15
14857,17.77
14975,13.5
15102,9.6
15403,0
15417,13.9888
15723,16.8
15766,15.5
15874,6.99
15977,16.99
16089,10
16181,5.75
16191,4.09
16258,27.5
16448,19.15
16450,0
16867,20.69
16872,0
16873,11.55
16876,0
16882,13
17026,20
17031,18
17069,17.85
17094,4.4445
17138,15.25
17251,0
17284,6.5
17336,5.9
17691,20.75
17692,0
17717,13.8
17828,15
17900,15
17946,11.49
18260,6.4
18378,14.85
18436,23.5
18573,17.85
18574,13.9
18814,20.99
18833,15.7748
